sample_id,dataset,task,question,answer,answers,metadata,has_image
textvqa_81,textvqa,textvqa,what is written in white above the meter message to the left?,f11,"[""f11"", ""f11"", ""f11"", ""f11"", ""f11"", ""fail"", ""f11"", ""fail"", ""f11"", ""four hours""]","{""raw_index"": 81, ""image_id"": ""0b12f7cbdc590684""}",True
textvqa_14,textvqa,textvqa,what number is visible on the man on the left?,15,"[""15"", ""15"", ""1"", ""15"", ""13"", ""1"", ""15"", ""15"", ""15"", ""15""]","{""raw_index"": 14, ""image_id"": ""0069ee6a94eca6d8""}",True
textvqa_3,textvqa,textvqa,whose bride is featured?,frankenstein,"[""frankenstein"", ""the bride of frankenstein"", ""bride of frankenstein"", ""frankenstein"", ""frankenstein"", ""frankenstein"", ""frankenstein"", ""frankenstein"", ""frankstein"", ""frankenstein""]","{""raw_index"": 3, ""image_id"": ""40bcb02e7c8b02a3""}",True
textvqa_94,textvqa,textvqa,what is the name of the drink?,club-mate,"[""club mate"", ""club-mate"", ""club-mate"", ""club-mate"", ""club-mate"", ""club mate"", ""club-mate"", ""club-mate"", ""club-mate"", ""club-mate""]","{""raw_index"": 94, ""image_id"": ""4a3c7bdc29de03cf""}",True
textvqa_35,textvqa,textvqa,what year is on the poster?,2007,"[""2007"", ""mikes"", ""2007"", ""2007"", ""2007"", ""2007"", ""2007"", ""2007"", ""2007"", ""2007""]","{""raw_index"": 35, ""image_id"": ""ce78d6d494e275f7""}",True
textvqa_31,textvqa,textvqa,what bank is on the top ad?,hsbc,"[""hsbc"", ""hsbc"", ""hsbc"", ""hsbc"", ""hsbc"", ""hsbc"", ""hsbc"", ""hsbc"", ""hsbc"", ""hsbc""]","{""raw_index"": 31, ""image_id"": ""00c098c7959397c3""}",True
textvqa_28,textvqa,textvqa,what jersey number is on the grey one?,5,"[""5"", ""5"", ""5"", ""5"", ""5"", ""5"", ""5"", ""5"", ""5"", ""5""]","{""raw_index"": 28, ""image_id"": ""5c5df881ad59f698""}",True
textvqa_17,textvqa,textvqa,what does it say behind the sign?,unanswerable,"[""unanswerable"", ""unanswerable"", ""buc"", ""prefrencia"", ""buc"", ""unanswerable"", ""unanswerable"", ""preferencia"", ""unanswerable"", ""buc""]","{""raw_index"": 17, ""image_id"": ""437b0f0809583112""}",True
textvqa_13,textvqa,textvqa,how much does the tall frappuccino cost?,540,"[""v540"", ""v450"", ""540 yen"", ""540"", ""540 yen"", ""y540"", ""540"", ""540"", ""540"", ""540""]","{""raw_index"": 13, ""image_id"": ""b06a403ff8b8d404""}",True
textvqa_86,textvqa,textvqa,what kind of readings are advertised?,tea leaf,"[""tea leaf"", ""tea leaf"", ""tea leaf"", ""tea leaf"", ""tea leaf"", ""tea leaf"", ""tea leaf"", ""tea leaf"", ""tea leaf"", ""tea leaf""]","{""raw_index"": 86, ""image_id"": ""c01944b19a7ee7e9""}",True
textvqa_69,textvqa,textvqa,what is the local seed for?,local food,"[""local food"", ""local food"", ""local food"", ""local food"", ""local food"", ""local food"", ""8.90"", ""local food"", ""local food"", ""local food""]","{""raw_index"": 69, ""image_id"": ""807bb23c0ebd1f9a""}",True
textvqa_11,textvqa,textvqa,what percent alcohol is this drink?,40,"[""40"", ""16"", ""40"", ""40%"", ""40%"", ""16"", ""40%"", ""unanswerable"", ""pharmacy"", ""40""]","{""raw_index"": 11, ""image_id"": ""5f5ca99afa5265f5""}",True
textvqa_75,textvqa,textvqa,"will this graphic,graflex, photography book use full for photographers ?",yes,"[""yes"", ""yes"", ""yes"", ""yes"", ""yes"", ""yes"", ""answering does not require reading text in the image"", ""unanswerable"", ""yes"", ""yes""]","{""raw_index"": 75, ""image_id"": ""b3aed13e75e83fe5""}",True
textvqa_54,textvqa,textvqa,what number is the right on the left?,9,"[""9"", ""9"", ""9"", ""7"", ""9"", ""14"", ""9"", ""9"", ""9"", ""14""]","{""raw_index"": 54, ""image_id"": ""d512408fbd412ecd""}",True
textvqa_4,textvqa,textvqa,what is the year of the pinot grigio?,2006,"[""2006"", ""2006"", ""2006"", ""2006"", ""2006"", ""2006"", ""2006"", ""2006"", ""2006"", ""2006""]","{""raw_index"": 4, ""image_id"": ""0147562d48d839ca""}",True
textvqa_97,textvqa,textvqa,frontiers of what?,interaction,"[""interactions"", ""interaction"", ""10"", ""interaction"", ""interaction"", ""interaction"", ""interaction"", ""interaction"", ""interaction"", ""interaction""]","{""raw_index"": 97, ""image_id"": ""7bb63151e8d69962""}",True
textvqa_88,textvqa,textvqa,what does the other text on the diploma say?,university of phoenix,"[""unanswerable"", ""university of phoneix"", ""unanswerable"", ""university of phoenix"", ""university of phoenix victor xavier martinez master of science in nursing"", ""university of phoenix"", ""university of pheonix"", ""university of pheonix"", ""university of phoenix"", ""no text in image""]","{""raw_index"": 88, ""image_id"": ""1abcf3116b521888""}",True
textvqa_27,textvqa,textvqa,what brand are the monitors at this workspace?,dell,"[""dell"", ""dell"", ""dell"", ""dell"", ""dell"", ""dell"", ""dell"", ""dell"", ""dell"", ""dell""]","{""raw_index"": 27, ""image_id"": ""0046c69cb87e655c""}",True
textvqa_29,textvqa,textvqa,what flavors are available?,unanswerable,"[""unanswerable"", ""imperial"", ""imperial"", ""imperial"", ""unanswerable"", ""unanswerable"", ""unanswerable"", ""unanswerable"", ""unanswerable"", ""unanswerable""]","{""raw_index"": 29, ""image_id"": ""a21f6076b2ceb2d9""}",True
textvqa_64,textvqa,textvqa,is the right watch a tudor watch?,yes,"[""yes"", ""yes"", ""yes"", ""yes"", ""yes"", ""yes"", ""yes"", ""yes"", ""yes"", ""yes""]","{""raw_index"": 64, ""image_id"": ""1fce98de54e23e5f""}",True
textvqa_77,textvqa,textvqa,what number is on his shirt?,5,"[""5"", ""german style"", ""5"", ""5"", ""5"", ""5"", ""5"", ""5"", ""5"", ""5""]","{""raw_index"": 77, ""image_id"": ""0dc6c613c531c303""}",True
textvqa_84,textvqa,textvqa,what brand of computer?,acer,"[""acer"", ""acer"", ""acer"", ""acer"", ""acer"", ""acer"", ""acer"", ""barca"", ""acer"", ""aclf""]","{""raw_index"": 84, ""image_id"": ""0fdff6396855f6c1""}",True
textvqa_71,textvqa,textvqa,what goes crunch in this recipe?,coffee,"[""coffee"", ""coffee"", ""coffee"", ""coffee"", ""coffee"", ""coffee"", ""coffee"", ""coffee"", ""coffee"", ""coffee""]","{""raw_index"": 71, ""image_id"": ""0b6268699f9954de""}",True
textvqa_25,textvqa,textvqa,what unit of measurement is the measuring tape in?,inches,"[""inces"", ""inches"", ""cm"", ""meters"", ""1"", ""cm"", ""inches"", ""unanswerable"", ""unanswerable"", ""inches""]","{""raw_index"": 25, ""image_id"": ""1b6a192ae0c7d65f""}",True
textvqa_89,textvqa,textvqa,who wears number 48?,mitchell,"[""mitchell"", ""mitchell"", ""mitchell"", ""mitchell"", ""mitchell"", ""mitchell"", ""mitchell"", ""mitchell"", ""mitchell"", ""mitchell""]","{""raw_index"": 89, ""image_id"": ""c897cf6df86daec4""}",True
textvqa_53,textvqa,textvqa,what color is 'get gnarly' printed in?,answering does not require reading text in the image,"[""grandprix dubisque"", ""answering does not require reading text in the image"", ""green"", ""answering does not require reading text in the image"", ""yes"", ""answering does not require reading text in the image"", ""green"", ""answering does not require reading text in the image"", ""green"", ""green""]","{""raw_index"": 53, ""image_id"": ""5340f808edc8d5c3""}",True
textvqa_93,textvqa,textvqa,what type of wine is shown?,zinfandel,"[""zinfandel"", ""ravenswood winters blend"", ""zinfandel"", ""ravenswood vintners blend - zinfandel"", ""ravenswood"", ""15mph"", ""zinfandel"", ""zinfandel"", ""vintners blend"", ""zinfandel""]","{""raw_index"": 93, ""image_id"": ""a93c812b36f9f5b4""}",True
textvqa_57,textvqa,textvqa,is the word huntington on the sign behind the man?,yes,"[""yes"", ""yes"", ""yes"", ""yes"", ""yes"", ""yes"", ""yes"", ""07-th-fd"", ""yes"", ""yes""]","{""raw_index"": 57, ""image_id"": ""aea7358779794f86""}",True
textvqa_95,textvqa,textvqa,what is the bottom right word on the sign in the back?,pacific,"[""navfac"", ""pacific"", ""pacific"", ""pacific"", ""pacific"", ""pacific"", ""pacific"", ""pacific"", ""pacific"", ""pacific""]","{""raw_index"": 95, ""image_id"": ""529658176281eec3""}",True
textvqa_0,textvqa,textvqa,what kind of vodka is on the shelf?,grey goose,"[""grey goose,ketel one"", ""grey goose"", ""grey goose"", ""grey goose"", ""grey goose"", ""absolut"", ""grey goose"", ""grey goose"", ""grey goose"", ""grey goose""]","{""raw_index"": 0, ""image_id"": ""ef5b03d3ec810a0f""}",True
textvqa_20,textvqa,textvqa,how long is this gun?,10,"[""4"", ""10 inches"", ""10"", ""10"", ""10 cm"", ""10"", ""10"", ""10 inches"", ""lennox robinson"", ""10 inches""]","{""raw_index"": 20, ""image_id"": ""23de66ad78278ab8""}",True
textvqa_90,textvqa,textvqa,what's the number on the keyboard?,9,"[""9"", ""9"", ""9"", ""9"", ""9"", ""9"", ""9"", ""9"", ""9"", ""6""]","{""raw_index"": 90, ""image_id"": ""a31bd9e03ed051ed""}",True
textvqa_43,textvqa,textvqa,what version number is the lg pad?,8.3,"[""8.3"", ""8.3"", ""8.3"", ""8.3"", ""8.3"", ""8.3"", ""lg"", ""8.3"", ""8.3"", ""8.3""]","{""raw_index"": 43, ""image_id"": ""0648077918a79ddf""}",True
textvqa_79,textvqa,textvqa,what beer is on the left?,sol,"[""imported"", ""sol"", ""sol"", ""sol"", ""sol"", ""sol\\"", ""sol"", ""sol"", ""sol"", ""sol""]","{""raw_index"": 79, ""image_id"": ""ae31a1993fe5af2c""}",True
textvqa_19,textvqa,textvqa,what time is displayed on the clock?,4:25,"[""4:24"", ""5:25"", ""4.24"", ""4:25"", ""4:24"", ""4:25"", ""10:25"", ""5:25"", ""4:25"", ""4:55""]","{""raw_index"": 19, ""image_id"": ""be899e86372eac49""}",True
textvqa_82,textvqa,textvqa,what brand of laptop is this?,samsung,"[""samsung"", ""samsung"", ""samsung"", ""samsung"", ""samsung"", ""samsung"", ""samsung"", ""samsung"", ""samsung"", ""samsung""]","{""raw_index"": 82, ""image_id"": ""80bdb60e84b3deb9""}",True
textvqa_67,textvqa,textvqa,what does the note attached to the typewriter say?,adler type writer a/f cback room,"[""adler type writer a/f cback room 25"", ""adler typewriter"", ""adler type writer a/f back room"", ""adler type writer a/f cback room"", ""adler typewriter a/f backroom"", ""adler type write-r a/f cback room"", ""adler typewriter a/f back room"", ""adler type writer aif backroom 25 euros"", ""adler type write a/f (back room e25"", ""adler type writer a/f cback room""]","{""raw_index"": 67, ""image_id"": ""b103e7b42c9d15ea""}",True
textvqa_6,textvqa,textvqa,what type of alcohol is in the bottles?,tequila,"[""tequilla"", ""tequila"", ""tequila"", ""tequila"", ""tequila"", ""jose cuervo"", ""tequila"", ""tequila"", ""tequilla"", ""tequila""]","{""raw_index"": 6, ""image_id"": ""a538b3174e0ae3de""}",True
textvqa_5,textvqa,textvqa,what key is to the left of space bar?,ap2,"[""ap2"", ""ap2"", ""ap2"", ""ap2"", ""ap2"", ""apq"", ""ap2"", ""ap2"", ""ap2"", ""ap2""]","{""raw_index"": 5, ""image_id"": ""0efb0ebc609044dc""}",True
textvqa_24,textvqa,textvqa,does it say to celebrate?,yes,"[""yes"", ""yes"", ""mets"", ""yes"", ""yes"", ""marietta 175"", ""yes"", ""marietta"", ""yes"", ""yes""]","{""raw_index"": 24, ""image_id"": ""6c270d38b9bfde71""}",True
textvqa_62,textvqa,textvqa,where do you sign up for the army according to the poster?,nearest recruiting station,"[""nearest recruiting station"", ""recruiting station"", ""nearest recruiting station"", ""nearest recruiting station"", ""nearest recruiting station"", ""nearest recruiting station"", ""the nearest recruiting station"", ""nearest recruiting station"", ""nearest recruiting station"", ""nearest recruiting station""]","{""raw_index"": 62, ""image_id"": ""40917a1218312a0c""}",True
textvqa_22,textvqa,textvqa,what is the brewery featured on the side of the fridge?,heineken,"[""beineken"", ""heineken"", ""heineken"", ""heineken"", ""el comercio"", ""heineken"", ""heineken"", ""heineken"", ""heineken"", ""heineken""]","{""raw_index"": 22, ""image_id"": ""1a1dc4f649c70562""}",True
textvqa_68,textvqa,textvqa,what is this image about?,transitioning,"[""transitioning"", ""transitioning"", ""transitioning"", ""transitioning"", ""transitioning"", ""transitioning"", ""transitioning"", ""transitioning"", ""transitioning"", ""transitioning""]","{""raw_index"": 68, ""image_id"": ""2fca28cdced9ebe4""}",True
textvqa_58,textvqa,textvqa,is this an apple iphone?,yes,"[""yes"", ""yes"", ""yes"", ""yes"", ""yes"", ""yes"", ""yes"", ""yes"", ""yes"", ""yes""]","{""raw_index"": 58, ""image_id"": ""d8b2316ec6ffe87a""}",True
textvqa_38,textvqa,textvqa,4 big letters in the bottom left of this powerpoint?,oppl,"[""oppl"", ""oppl"", ""oppi"", ""oppl"", ""oppi"", ""oppi"", ""appi"", ""appi"", ""oppl"", ""oppl""]","{""raw_index"": 38, ""image_id"": ""dc96c931d44aa816""}",True
textvqa_16,textvqa,textvqa,how much is this app?,free,"[""free"", ""free"", ""free"", ""free"", ""free"", ""free"", ""free"", ""free"", ""illegal"", ""free""]","{""raw_index"": 16, ""image_id"": ""53b1a9eb1caf325d""}",True
textvqa_51,textvqa,textvqa,which street is indicated on the green sign?,7 av,"[""7th"", ""7 av"", ""47th"", ""7 av"", ""7 av"", ""7 av"", ""7 ave"", ""7 av"", ""7 av"", ""7 av""]","{""raw_index"": 51, ""image_id"": ""012177742de13113""}",True
textvqa_2,textvqa,textvqa,what features does the remote have?,sanitized,"[""sanitized"", ""sanitizing"", ""sanitized"", ""it is sanitized"", ""sanatized"", ""antimicrobial"", ""sanitized"", ""sanitized"", ""sanitized remote"", ""sanitized""]","{""raw_index"": 2, ""image_id"": ""3aa11d45bbaa9a73""}",True
