sample_id,dataset,task,question,answer,answers,metadata,has_image
textvqa_654,textvqa,textvqa,what color is the uniform of the girl on the bar?,answering does not require reading text in the image,"[""answering does not require reading text in the image"", ""black, white & green"", ""black with green and white accents"", ""answering does not require reading text in the image"", ""black and green and white"", ""answering does not require reading text in the image"", ""black"", ""black"", ""black"", ""unanswerable""]","{""raw_index"": 654, ""image_id"": ""8ed692bddf6bf465""}",True
textvqa_114,textvqa,textvqa,what country is written on the side?,america,"[""america"", ""america"", ""america"", ""merica"", ""america"", ""america"", ""usa"", ""america"", ""america"", ""america""]","{""raw_index"": 114, ""image_id"": ""4cd8d006d1aaabb8""}",True
textvqa_25,textvqa,textvqa,what unit of measurement is the measuring tape in?,inches,"[""inces"", ""inches"", ""cm"", ""meters"", ""1"", ""cm"", ""inches"", ""unanswerable"", ""unanswerable"", ""inches""]","{""raw_index"": 25, ""image_id"": ""1b6a192ae0c7d65f""}",True
textvqa_759,textvqa,textvqa,what is the name of this soda?,coca cola,"[""coca-cola"", ""coca cola"", ""coca cola"", ""coca cola"", ""coca cola"", ""coca cola"", ""coca cola"", ""coca-cola"", ""coca-cola"", ""cocacola""]","{""raw_index"": 759, ""image_id"": ""0de3c11b38fa7feb""}",True
textvqa_281,textvqa,textvqa,what number is the red jersey in the middle?,3,"[""3"", ""harrison"", ""3"", ""3"", ""3"", ""3"", ""3"", ""3"", ""3"", ""3""]","{""raw_index"": 281, ""image_id"": ""5d06ad6d6856eb82""}",True
textvqa_250,textvqa,textvqa,is the water mineral water ?,yes,"[""yes"", ""yes"", ""yes"", ""yes"", ""yes"", ""minere"", ""yes"", ""yes"", ""yes"", ""france""]","{""raw_index"": 250, ""image_id"": ""06f98421b247aa62""}",True
textvqa_228,textvqa,textvqa,what is the weight displayed on the scale?,0,"[""0.0000 g"", ""0"", ""00000g"", ""0g"", ""00000g"", ""0"", ""00000"", ""0"", ""0.00000"", ""0g""]","{""raw_index"": 228, ""image_id"": ""e0ba651f086e2176""}",True
textvqa_142,textvqa,textvqa,what two letters are on the magazine immediately to the left of the girls head in the middle of the picture?,do,"[""do"", ""do"", ""do"", ""do"", ""do"", ""do"", ""do"", ""unanswerable"", ""do"", ""do""]","{""raw_index"": 142, ""image_id"": ""d22f159bf11c4e5a""}",True
textvqa_754,textvqa,textvqa,what lake is this a picture of?,winnipesaukee,"[""winnipesaukee"", ""winnipesaukee"", ""lake winnipeasukee"", ""winnipeaukee"", ""lake winniesaukee"", ""lake winnipesaukee"", ""winnipesaukee"", ""winnipesaukee"", ""lake winnipesaukee"", ""winnipesaukee""]","{""raw_index"": 754, ""image_id"": ""029d242949f19a9b""}",True
textvqa_104,textvqa,textvqa,what movie franchise is this?,star wars,"[""star wars"", ""star wars"", ""the movie is star wars"", ""star wars"", ""star wars"", ""star wars"", ""star wars"", ""star wars"", ""star wars"", ""star wars""]","{""raw_index"": 104, ""image_id"": ""6d4a18e451f37808""}",True
textvqa_692,textvqa,textvqa,what is the model number of this van series?,2500,"[""2500"", ""2500"", ""2500"", ""2500"", ""2500"", ""2500"", ""2500"", ""2500"", ""unanswerable"", ""2500""]","{""raw_index"": 692, ""image_id"": ""18e2e86cc160cac3""}",True
textvqa_758,textvqa,textvqa,what digits are on the hoodie?,58,"[""58"", ""58"", ""58"", ""58"", ""58"", ""58"", ""58"", ""58"", ""58"", ""58""]","{""raw_index"": 758, ""image_id"": ""8fde5a30a2506db6""}",True
textvqa_913,textvqa,textvqa,what is on the players arm?,etn,"[""eth"", ""etn"", ""etr"", ""ardahl"", ""etm"", ""etn"", ""etn"", ""4"", ""etn"", ""sleeve""]","{""raw_index"": 913, ""image_id"": ""57b8464cb126b103""}",True
textvqa_558,textvqa,textvqa,brand name of this laptop?,dell,"[""dell"", ""dell"", ""dell"", ""dell"", ""dell"", ""dell"", ""dell"", ""dell"", ""dell"", ""dell""]","{""raw_index"": 558, ""image_id"": ""f70bd40d5a93e46c""}",True
textvqa_89,textvqa,textvqa,who wears number 48?,mitchell,"[""mitchell"", ""mitchell"", ""mitchell"", ""mitchell"", ""mitchell"", ""mitchell"", ""mitchell"", ""mitchell"", ""mitchell"", ""mitchell""]","{""raw_index"": 89, ""image_id"": ""c897cf6df86daec4""}",True
